,GEO_NAME,County_Population,non_white_total,perc_non_white,predrt
0,"Autauga County, AL",55200,11324,20.51449275,23.6
1,"Baldwin County, AL",208107,22975,11.03999385,24.72
2,"Barbour County, AL",25782,12435,48.23132418,35.11
3,"Bibb County, AL",22527,5063,22.47525192,28.64
4,"Blount County, AL",57645,1219,2.114667361,27.59
5,"Bullock County, AL",10352,8071,77.96561051,33.75
6,"Butler County, AL",20025,9288,46.38202247,31.51
7,"Calhoun County, AL",115098,25103,21.81010965,26.34
8,"Chambers County, AL",33826,13821,40.85910247,30.84
9,"Cherokee County, AL",25853,1558,6.026379917,30.3
10,"Chilton County, AL",43930,4461,10.15479171,26.97
11,"Choctaw County, AL",13075,5612,42.92160612,34.86
12,"Clarke County, AL",24387,11321,46.42227416,30.47
13,"Clay County, AL",13378,2150,16.07116161,31.43
14,"Cleburne County, AL",14938,435,2.912036417,27.2
15,"Coffee County, AL",51288,10112,19.71611293,25.24
16,"Colbert County, AL",54495,9278,17.02541518,26.25
17,"Conecuh County, AL",12514,6045,48.30589739,33.79
18,"Coosa County, AL",10855,3722,34.28834638,27.36
19,"Covington County, AL",37351,5056,13.5364515,30.8
20,"Crenshaw County, AL",13865,3495,25.20735665,29.79
21,"Cullman County, AL",82313,1683,2.044634505,26.3
22,"Dale County, AL",49255,10763,21.85158867,27.23
23,"Dallas County, AL",40029,28467,71.11594094,32.31
24,"DeKalb County, AL",71200,2699,3.790730337,28.96
25,"Elmore County, AL",81212,18003,22.16790622,22.93
26,"Escambia County, AL",37328,13564,36.3373339,31.68
27,"Etowah County, AL",102939,17768,17.2607078,27.54
28,"Fayette County, AL",16585,2092,12.61380766,31.57
29,"Franklin County, AL",31542,1995,6.324900133,30.12
30,"Geneva County, AL",26491,2852,10.7659205,29.29
31,"Greene County, AL",8426,6761,80.23973416,38.11
32,"Hale County, AL",14887,8816,59.21945321,35.65
33,"Henry County, AL",17124,4753,27.75636534,30.87
34,"Houston County, AL",104352,29274,28.05312787,26.54
35,"Jackson County, AL",52094,2706,5.194456175,28.09
36,"Jefferson County, AL",659892,293731,44.51198075,27.42
37,"Lamar County, AL",13933,1558,11.1820857,34.28
38,"Lauderdale County, AL",92585,10454,11.29124588,24.4
39,"Lawrence County, AL",33171,5573,16.80081999,29.14
40,"Lee County, AL",159287,43496,27.30668542,21.73
41,"Limestone County, AL",93052,14519,15.60310364,22.42
42,"Lowndes County, AL",10236,7614,74.38452521,34.31
43,"Macon County, AL",19054,15853,83.20037787,36.81
44,"Madison County, AL",357560,97384,27.23570869,22.28
45,"Marengo County, AL",19538,10569,54.09458491,35.64
46,"Marion County, AL",29965,1268,4.231603537,30.93
