|ctname|predrt|Predrt_1_2|Predrt_1_2_3|GEO_NAME|GEO_PARENT_NAME|FIPS_CODE|White alone_Total|Black or African American alone_Total|American Indian and Alaska Native alone_Total|Asian alone_Total|Native Hawaiian and Other Pacific Islander alone_Total
0|Autauga County, AL|31.66|44.74|23.6|Autauga County|Alabama|1001.0|42437.0|10565.0|159.0|568.0|32.0
39|Baldwin County, AL|29.84|45.44|24.72|Baldwin County|Alabama|1003.0|179526.0|19764.0|1522.0|1680.0|9.0
138|Barbour County, AL|18.7|46.19|35.11|Barbour County|Alabama|1005.0|12216.0|12266.0|72.0|96.0|1.0
168|Bibb County, AL|24.58|46.77|28.64|Bibb County|Alabama|1007.0|17268.0|5018.0|8.0|37.0|0.0
183|Blount County, AL|28.96|43.45|27.59|Blount County|Alabama|1009.0|55054.0|862.0|141.0|198.0|18.0
213|Bullock County, AL|16.55|49.69|33.75|Bullock County|Alabama|1011.0|2276.0|7893.0|122.0|56.0|0.0
225|Butler County, AL|22.32|46.16|31.51|Butler County|Alabama|1013.0|10414.0|9055.0|2.0|231.0|0.0
255|Calhoun County, AL|27.72|45.95|26.34|Calhoun County|Alabama|1015.0|85558.0|23676.0|353.0|1065.0|9.0
351|Chambers County, AL|23.52|45.64|30.84|Chambers County|Alabama|1017.0|19483.0|13319.0|97.0|405.0|0.0
381|Cherokee County, AL|27.8|41.9|30.3|Cherokee County|Alabama|1019.0|23997.0|1267.0|236.0|55.0|0.0
402|Chilton County, AL|25.94|47.09|26.97|Chilton County|Alabama|1021.0|36599.0|4148.0|123.0|190.0|0.0
432|Choctaw County, AL|22.14|43.0|34.86|Choctaw County|Alabama|1023.0|7420.0|5590.0|9.0|13.0|0.0
447|Clarke County, AL|26.0|43.53|30.47|Clarke County|Alabama|1025.0|12935.0|11173.0|25.0|123.0|0.0
477|Clay County, AL|26.87|41.71|31.43|Clay County|Alabama|1027.0|11106.0|1977.0|155.0|18.0|0.0
492|Cleburne County, AL|28.05|44.74|27.2|Cleburne County|Alabama|1029.0|14068.0|393.0|39.0|3.0|0.0
507|Coffee County, AL|30.25|44.52|25.24|Coffee County|Alabama|1031.0|38923.0|8829.0|617.0|666.0|0.0
552|Colbert County, AL|32.0|41.76|26.25|Colbert County|Alabama|1033.0|43288.0|8615.0|367.0|267.0|29.0
597|Conecuh County, AL|22.02|44.19|33.79|Conecuh County|Alabama|1035.0|6369.0|5971.0|56.0|18.0|0.0
615|Coosa County, AL|22.72|49.92|27.36|Coosa County|Alabama|1037.0|7133.0|3713.0|9.0|0.0|0.0
