,ctname,Predrt_1_2
1,"Autauga County, AL",44.74
40,"Baldwin County, AL",45.44
139,"Barbour County, AL",46.19
169,"Bibb County, AL",46.77
184,"Blount County, AL",43.45
214,"Bullock County, AL",49.69
226,"Butler County, AL",46.16
256,"Calhoun County, AL",45.95
352,"Chambers County, AL",45.64
382,"Cherokee County, AL",41.9
403,"Chilton County, AL",47.09
433,"Choctaw County, AL",43.0
448,"Clarke County, AL",43.53
478,"Clay County, AL",41.71
493,"Cleburne County, AL",44.74
508,"Coffee County, AL",44.52
553,"Colbert County, AL",41.76
598,"Conecuh County, AL",44.19
616,"Coosa County, AL",49.92
628,"Covington County, AL",44.15
673,"Crenshaw County, AL",45.39
694,"Cullman County, AL",44.99
751,"Dale County, AL",46.36
796,"Dallas County, AL",47.79
844,"DeKalb County, AL",44.44
889,"Elmore County, AL",47.99
937,"Escambia County, AL",43.97
967,"Etowah County, AL",45.5
1060,"Fayette County, AL",44.74
1078,"Franklin County, AL",42.16
1108,"Geneva County, AL",45.58
1129,"Greene County, AL",43.69
1141,"Hale County, AL",45.26
1162,"Henry County, AL",47.98
1183,"Houston County, AL",45.96
1252,"Jackson County, AL",43.71
1288,"Jefferson County, AL",46.59
1780,"Lamar County, AL",36.01
1792,"Lauderdale County, AL",44.81
1861,"Lawrence County, AL",43.48
1891,"Lee County, AL",45.79
1975,"Limestone County, AL",45.41
2026,"Lowndes County, AL",48.34
2041,"Macon County, AL",44.07
2080,"Madison County, AL",45.19
2302,"Marengo County, AL",42.88
2323,"Marion County, AL",44.68
2350,"Marshall County, AL",45.34
2407,"Mobile County, AL",46.8
2755,"Monroe County, AL",40.5
2779,"Montgomery County, AL",45.75
2977,"Morgan County, AL",46.3
3061,"Perry County, AL",43.33
3073,"Pickens County, AL",46.6
3091,"Pike County, AL",46.28
3118,"Randolph County, AL",44.34
3139,"Russell County, AL",45.72
3181,"St. Clair County, AL",44.94
3223,"Shelby County, AL",43.51
3370,"Sumter County, AL",43.66
3385,"Talladega County, AL",45.75
3454,"Tallapoosa County, AL",44.97
3487,"Tuscaloosa County, AL",49.86
3631,"Walker County, AL",42.37
3688,"Washington County, AL",43.42
3706,"Wilcox County, AL",41.34
3721,"Winston County, AL",44.12
3745,"Aleutians East Borough, AK",47.25
3751,"Aleutians West Census Area, AK",63.68
3760,"Anchorage Borough, AK",62.99
3928,"Bethel Census Area, AK",65.9
3940,"Bristol Bay Borough, AK",57.81
3946,"Denali Borough, AK",56.63
3952,"Dillingham Census Area, AK",65.29
3961,"Fairbanks North Star Borough, AK",53.28
4021,"Haines Borough, AK",56.22
4027,"Hoonah-Angoon Census Area, AK",53.46
4036,"Juneau Borough, AK",59.36
4057,"Kenai Peninsula Borough, AK",53.32
4099,"Ketchikan Gateway Borough, AK",53.93
4114,"Kodiak Island Borough, AK",58.31
4132,"Kusilvak Census Area, AK",63.31
4138,"Lake and Peninsula Borough, AK",60.81
4144,"Matanuska-Susitna Borough, AK",55.2
4219,"Nome Census Area, AK",68.26
4228,"North Slope Borough, AK",73.14
4240,"Northwest Arctic Borough, AK",71.3
4249,"Petersburg Borough, AK",47.87
4255,"Prince of Wales-Hyder Census Area, AK",53.92
4270,"Sitka Borough, AK",54.77
4279,"Skagway Municipality, AK",59.84
4285,"Southeast Fairbanks Census Area, AK",57.24
4294,"Valdez-Cordova Census Area, AK",53.49
4306,"Wrangell City and Borough, AK",42.19
4312,"Yakutat Borough, AK",58.61
4318,"Yukon-Koyukuk Census Area, AK",56.9
4333,"Apache County, AZ",46.87
4384,"Cochise County, AZ",52.83
4483,"Coconino County, AZ",57.11
4570,"Gila County, AZ",48.42
4621,"Graham County, AZ",53.81
4651,"Greenlee County, AZ",58.37
4663,"La Paz County, AZ",42.3
4693,"Maricopa County, AZ",60.14
7444,"Mohave County, AZ",47.83
7576,"Navajo County, AZ",50.41
7672,"Pima County, AZ",53.5
8398,"Pinal County, AZ",52.97
8626,"Santa Cruz County, AZ",48.25
8659,"Yavapai County, AZ",48.99
8788,"Yuma County, AZ",59.87
8956,"Arkansas County, AR",49.31
8983,"Ashley County, AR",45.5
9007,"Baxter County, AR",43.77
9037,"Benton County, AR",48.56
9187,"Boone County, AR",48.41
9211,"Bradley County, AR",48.37
9229,"Calhoun County, AR",48.84
9238,"Carroll County, AR",49.25
9256,"Chicot County, AR",46.79
9271,"Clark County, AR",49.35
9289,"Clay County, AR",51.01
9310,"Cleburne County, AR",46.39
9334,"Cleveland County, AR",47.42
9343,"Columbia County, AR",44.57
9361,"Conway County, AR",47.16
9382,"Craighead County, AR",51.83
9436,"Crawford County, AR",49.15
9472,"Crittenden County, AR",49.4
9535,"Cross County, AR",50.55
9556,"Dallas County, AR",48.01
9568,"Desha County, AR",45.74
9586,"Drew County, AR",48.49
9604,"Faulkner County, AR",48.77
9682,"Franklin County, AR",42.57
9694,"Fulton County, AR",50.25
9703,"Garland County, AR",47.9
9766,"Grant County, AR",45.51
9781,"Greene County, AR",48.43
9811,"Hempstead County, AR",48.32
9829,"Hot Spring County, AR",47.06
9853,"Howard County, AR",44.55
9865,"Independence County, AR",50.28
9892,"Izard County, AR",47.49
9907,"Jackson County, AR",47.87
9925,"Jefferson County, AR",48.05
10000,"Johnson County, AR",48.3
10021,"Lafayette County, AR",44.19
10030,"Lawrence County, AR",47.87
10051,"Lee County, AR",45.71
10066,"Lincoln County, AR",45.06
10081,"Little River County, AR",47.84
10096,"Logan County, AR",49.03
10117,"Lonoke County, AR",47.23
10168,"Madison County, AR",48.57
10183,"Marion County, AR",44.44
10198,"Miller County, AR",46.83
10237,"Mississippi County, AR",48.03
10276,"Monroe County, AR",44.29
10288,"Montgomery County, AR",46.32
10300,"Nevada County, AR",52.27
10312,"Newton County, AR",40.47
10321,"Ouachita County, AR",44.33
10342,"Perry County, AR",48.14
10354,"Phillips County, AR",47.67
10375,"Pike County, AR",50.23
10387,"Poinsett County, AR",47.67
10411,"Polk County, AR",50.91
10432,"Pope County, AR",47.91
10468,"Prairie County, AR",46.84
10480,"Pulaski County, AR",47.37
10768,"Randolph County, AR",48.61
10783,"St. Francis County, AR",45.89
10804,"Saline County, AR",46.11
10870,"Scott County, AR",48.33
10882,"Searcy County, AR",49.63
10894,"Sebastian County, AR",50.7
10975,"Sevier County, AR",51.41
10990,"Sharp County, AR",43.28
11005,"Stone County, AR",45.97
11017,"Union County, AR",50.1
11050,"Van Buren County, AR",46.65
11068,"Washington County, AR",49.85
11167,"White County, AR",49.53
11209,"Woodruff County, AR",48.98
11218,"Yell County, AR",50.46
11239,"Alameda County, CA",70.37
12325,"Alpine County, CA",52.59
12331,"Amador County, CA",50.59
12361,"Butte County, CA",53.79
12517,"Calaveras County, CA",50.53
12550,"Colusa County, CA",57.45
12568,"Contra Costa County, CA",61.99
13195,"Del Norte County, CA",55.54
13222,"El Dorado County, CA",49.69
13354,"Fresno County, CA",62.24
13954,"Glenn County, CA",50.73
13975,"Humboldt County, CA",53.33
14071,"Imperial County, CA",58.55
14167,"Inyo County, CA",49.9
14188,"Kern County, CA",62.58
14644,"Kings County, CA",65.77
14728,"Lake County, CA",51.94
14776,"Lassen County, CA",49.91
14806,"Los Angeles County, CA",66.87
21847,"Madera County, CA",58.08
21919,"Marin County, CA",52.27
22090,"Mariposa County, CA",51.75
22111,"Mendocino County, CA",51.55
22177,"Merced County, CA",63.15
22327,"Modoc County, CA",48.78
22342,"Mono County, CA",52.99
22354,"Monterey County, CA",63.71
22639,"Napa County, CA",59.35
22762,"Nevada County, CA",48.67
22825,"Orange County, CA",66.41
24577,"Placer County, CA",55.73
24835,"Plumas County, CA",47.24
24859,"Riverside County, CA",62.1
26221,"Sacramento County, CA",66.47
27175,"San Benito County, CA",66.66
27211,"San Bernardino County, CA",64.6
28321,"San Diego County, CA",64.32
30208,"San Francisco County, CA",71.19
30802,"San Joaquin County, CA",65.78
31222,"San Luis Obispo County, CA",57.07
31387,"San Mateo County, CA",68.38
31864,"Santa Barbara County, CA",63.39
32137,"Santa Clara County, CA",71.51
33256,"Santa Cruz County, CA",60.68
33418,"Shasta County, CA",50.24
33565,"Sierra County, CA",47.47
33571,"Siskiyou County, CA",49.81
33616,"Solano County, CA",64.25
33907,"Sonoma County, CA",57.13
34210,"Stanislaus County, CA",66.42
34495,"Sutter County, CA",60.01
34561,"Tehama County, CA",51.3
34597,"Trinity County, CA",49.78
34615,"Tulare County, CA",60.44
34852,"Tuolumne County, CA",50.53
34888,"Ventura County, CA",63.26
35413,"Yolo County, CA",66.0
35539,"Yuba County, CA",59.39
35584,"Adams County, CO",66.31
35878,"Alamosa County, CO",47.76
35893,"Arapahoe County, CO",65.59
36337,"Archuleta County, CO",52.29
36352,"Baca County, CO",43.51
36361,"Bent County, CO",47.92
36367,"Boulder County, CO",60.66
36574,"Broomfield County, CO",54.71
36631,"Chaffee County, CO",46.73
36649,"Cheyenne County, CO",39.75
36655,"Clear Creek County, CO",50.08
36667,"Conejos County, CO",52.92
36676,"Costilla County, CO",47.0
36685,"Crowley County, CO",44.4
36691,"Custer County, CO",48.81
36697,"Delta County, CO",48.47
36721,"Denver County, CO",69.86
37156,"Dolores County, CO",48.84
37162,"Douglas County, CO",57.58
37348,"Eagle County, CO",49.29
37393,"Elbert County, CO",49.54
37417,"El Paso County, CO",60.35
37810,"Fremont County, CO",48.05
37855,"Garfield County, CO",52.73
37891,"Gilpin County, CO",47.64
37897,"Grand County, CO",50.62
37909,"Gunnison County, CO",49.56
37924,"Hinsdale County, CO",47.72
37930,"Huerfano County, CO",44.86
37939,"Jackson County, CO",43.49
37945,"Jefferson County, CO",58.16
38362,"Kiowa County, CO",40.49
38368,"Kit Carson County, CO",52.65
38380,"Lake County, CO",48.03
38389,"La Plata County, CO",49.76
38422,"Larimer County, CO",57.7
38644,"Las Animas County, CO",50.25
38665,"Lincoln County, CO",45.53
38674,"Logan County, CO",44.33
38695,"Mesa County, CO",49.6
38785,"Mineral County, CO",42.91
38791,"Moffat County, CO",50.47
38806,"Montezuma County, CO",49.87
38830,"Montrose County, CO",47.36
38863,"Morgan County, CO",54.08
38890,"Otero County, CO",48.53
38914,"Ouray County, CO",48.11
38920,"Park County, CO",48.16
38938,"Phillips County, CO",46.2
38947,"Pitkin County, CO",51.93
38962,"Prowers County, CO",49.77
38980,"Pueblo County, CO",52.44
39148,"Rio Blanco County, CO",50.14
39157,"Rio Grande County, CO",50.9
39169,"Routt County, CO",52.51
39196,"Saguache County, CO",52.73
39205,"San Juan County, CO",49.34
39211,"San Miguel County, CO",58.81
39226,"Sedgwick County, CO",43.03
39232,"Summit County, CO",52.17
39250,"Teller County, CO",46.13
39271,"Washington County, CO",45.46
39280,"Weld County, CO",57.29
39514,"Yuma County, CO",47.76
39523,"Fairfield County, CT",50.58
40159,"Hartford County, CT",49.88
40834,"Litchfield County, CT",43.61
40990,"Middlesex County, CT",46.13
41104,"New Haven County, CT",51.25
41677,"New London County, CT",46.85
41878,"Tolland County, CT",44.33
41968,"Windham County, CT",46.24
42046,"Kent County, DE",47.04
42148,"New Castle County, DE",54.16
42544,"Sussex County, DE",44.99
42709,"District of Columbia, DC",68.41
43249,"Alachua County, FL",51.29
43420,"Baker County, FL",45.88
43435,"Bay County, FL",47.86
43570,"Bradford County, FL",46.98
43585,"Brevard County, FL",47.59
43930,"Broward County, FL",59.74
45019,"Calhoun County, FL",48.57
45031,"Charlotte County, FL",43.21
45151,"Citrus County, FL",43.74
45238,"Clay County, FL",49.42
45331,"Collier County, FL",45.33
45556,"Columbia County, FL",48.39
45595,"DeSoto County, FL",45.79
45625,"Dixie County, FL",48.54
45640,"Duval County, FL",50.6
46165,"Escambia County, FL",47.41
46384,"Flagler County, FL",45.76
46450,"Franklin County, FL",45.75
46471,"Gadsden County, FL",47.2
46501,"Gilchrist County, FL",51.98
46519,"Glades County, FL",36.27
46534,"Gulf County, FL",46.06
46549,"Hamilton County, FL",43.65
46561,"Hardee County, FL",51.8
46582,"Hendry County, FL",48.17
46606,"Hernando County, FL",44.65
46744,"Highlands County, FL",44.34
46828,"Hillsborough County, FL",53.68
47794,"Holmes County, FL",47.44
47809,"Indian River County, FL",44.71
47905,"Jackson County, FL",47.02
47941,"Jefferson County, FL",46.38
47956,"Lafayette County, FL",42.4
47965,"Lake County, FL",45.44
48136,"Lee County, FL",46.58
48640,"Leon County, FL",50.13
48847,"Levy County, FL",45.02
48880,"Liberty County, FL",47.22
48889,"Madison County, FL",48.07
48907,"Manatee County, FL",47.16
49147,"Marion County, FL",46.02
49339,"Martin County, FL",44.54
49450,"Miami-Dade County, FL",58.21
51010,"Monroe County, FL",51.53
51106,"Nassau County, FL",44.62
51148,"Okaloosa County, FL",48.07
51280,"Okeechobee County, FL",46.39
51319,"Orange County, FL",52.96
51943,"Osceola County, FL",53.66
52069,"Palm Beach County, FL",50.59
53086,"Pasco County, FL",46.57
53491,"Pinellas County, FL",53.05
54232,"Polk County, FL",47.99
54697,"Putnam County, FL",45.46
54751,"St. Johns County, FL",46.03
54877,"St. Lucie County, FL",45.87
55015,"Santa Rosa County, FL",46.08
55096,"Sarasota County, FL",45.55
55384,"Seminole County, FL",50.96
55645,"Sumter County, FL",40.97
