,GEO_NAME,County_Population
0,"Autauga County, AL",55200
1,"Baldwin County, AL",208107
2,"Barbour County, AL",25782
3,"Bibb County, AL",22527
4,"Blount County, AL",57645
5,"Bullock County, AL",10352
6,"Butler County, AL",20025
7,"Calhoun County, AL",115098
8,"Chambers County, AL",33826
9,"Cherokee County, AL",25853
10,"Chilton County, AL",43930
11,"Choctaw County, AL",13075
12,"Clarke County, AL",24387
13,"Clay County, AL",13378
14,"Cleburne County, AL",14938
15,"Coffee County, AL",51288
16,"Colbert County, AL",54495
17,"Conecuh County, AL",12514
18,"Coosa County, AL",10855
19,"Covington County, AL",37351
20,"Crenshaw County, AL",13865
21,"Cullman County, AL",82313
22,"Dale County, AL",49255
23,"Dallas County, AL",40029
24,"DeKalb County, AL",71200
25,"Elmore County, AL",81212
26,"Escambia County, AL",37328
27,"Etowah County, AL",102939
28,"Fayette County, AL",16585
29,"Franklin County, AL",31542
30,"Geneva County, AL",26491
31,"Greene County, AL",8426
32,"Hale County, AL",14887
33,"Henry County, AL",17124
34,"Houston County, AL",104352
35,"Jackson County, AL",52094
36,"Jefferson County, AL",659892
37,"Lamar County, AL",13933
38,"Lauderdale County, AL",92585
39,"Lawrence County, AL",33171
40,"Lee County, AL",159287
41,"Limestone County, AL",93052
42,"Lowndes County, AL",10236
43,"Macon County, AL",19054
44,"Madison County, AL",357560
45,"Marengo County, AL",19538
46,"Marion County, AL",29965
47,"Marshall County, AL",95145
48,"Mobile County, AL",414659
49,"Monroe County, AL",21512
50,"Montgomery County, AL",226941
51,"Morgan County, AL",119122
52,"Perry County, AL",9486
53,"Pickens County, AL",20298
54,"Pike County, AL",33403
55,"Randolph County, AL",22574
56,"Russell County, AL",58213
57,"St. Clair County, AL",87306
58,"Shelby County, AL",211261
59,"Sumter County, AL",12985
60,"Talladega County, AL",80565
61,"Tallapoosa County, AL",40636
62,"Tuscaloosa County, AL",206213
63,"Walker County, AL",64493
64,"Washington County, AL",16643
65,"Wilcox County, AL",10809
66,"Winston County, AL",23875
67,"Aleutians East Borough, AK",3425
68,"Aleutians West Census Area, AK",5750
69,"Anchorage Municipality, AK",296112
70,"Bethel Census Area, AK",18040
71,"Bristol Bay Borough, AK",890
72,"Denali Borough, AK",2232
73,"Dillingham Census Area, AK",4975
74,"Fairbanks North Star Borough, AK",99653
75,"Haines Borough, AK",2518
76,"Hoonah-Angoon Census Area, AK",2132
77,"Juneau City and Borough, AK",32330
78,"Kenai Peninsula Borough, AK",58220
79,"Ketchikan Gateway Borough, AK",13804
80,"Kodiak Island Borough, AK",13649
81,"Kusilvak Census Area, AK",8198
82,"Lake and Peninsula Borough, AK",1375
83,"Matanuska-Susitna Borough, AK",103464
84,"Nome Census Area, AK",9925
85,"North Slope Borough, AK",9797
86,"Northwest Arctic Borough, AK",7734
87,"Petersburg Borough, AK",3255
88,"Prince of Wales-Hyder Census Area, AK",6474
89,"Sitka City and Borough, AK",8738
90,"Skagway Municipality, AK",1061
91,"Southeast Fairbanks Census Area, AK",6876
92,"Valdez-Cordova Census Area, AK",9301
93,"Wrangell City and Borough, AK",2484
94,"Yakutat City and Borough, AK",689
95,"Yukon-Koyukuk Census Area, AK",5415
96,"Apache County, AZ",71522
97,"Cochise County, AZ",126279
98,"Coconino County, AZ",140217
99,"Gila County, AZ",53400
100,"Graham County, AZ",37879
101,"Greenlee County, AZ",9504
102,"La Paz County, AZ",20701
103,"Maricopa County, AZ",4253913
104,"Mohave County, AZ",206064
105,"Navajo County, AZ",108705
106,"Pima County, AZ",1019722
107,"Pinal County, AZ",419721
108,"Santa Cruz County, AZ",46584
109,"Yavapai County, AZ",224645
110,"Yuma County, AZ",207829
111,"Arkansas County, AR",18124
112,"Ashley County, AR",20537
113,"Baxter County, AR",41219
114,"Benton County, AR",258980
115,"Boone County, AR",37288
116,"Bradley County, AR",10948
117,"Calhoun County, AR",5202
118,"Carroll County, AR",27887
119,"Chicot County, AR",10826
120,"Clark County, AR",22385
121,"Clay County, AR",15061
122,"Cleburne County, AR",25230
123,"Cleveland County, AR",8226
124,"Columbia County, AR",23892
125,"Conway County, AR",20906
126,"Craighead County, AR",105701
127,"Crawford County, AR",62472
128,"Crittenden County, AR",49013
129,"Cross County, AR",16998
130,"Dallas County, AR",7432
131,"Desha County, AR",11887
132,"Drew County, AR",18502
133,"Faulkner County, AR",122416
134,"Franklin County, AR",17780
135,"Fulton County, AR",12139
