,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
0,"Autauga County, AL",55200,159
1,"Baldwin County, AL",208107,1522
2,"Barbour County, AL",25782,72
3,"Bibb County, AL",22527,8
4,"Blount County, AL",57645,141
5,"Bullock County, AL",10352,122
6,"Butler County, AL",20025,2
7,"Calhoun County, AL",115098,353
8,"Chambers County, AL",33826,97
9,"Cherokee County, AL",25853,236
10,"Chilton County, AL",43930,123
11,"Choctaw County, AL",13075,9
12,"Clarke County, AL",24387,25
13,"Clay County, AL",13378,155
14,"Cleburne County, AL",14938,39
15,"Coffee County, AL",51288,617
16,"Colbert County, AL",54495,367
17,"Conecuh County, AL",12514,56
18,"Coosa County, AL",10855,9
19,"Covington County, AL",37351,58
20,"Crenshaw County, AL",13865,109
21,"Cullman County, AL",82313,348
22,"Dale County, AL",49255,377
23,"Dallas County, AL",40029,10
24,"DeKalb County, AL",71200,934
25,"Elmore County, AL",81212,209
26,"Escambia County, AL",37328,1437
27,"Etowah County, AL",102939,751
28,"Fayette County, AL",16585,0
29,"Franklin County, AL",31542,488
30,"Geneva County, AL",26491,210
31,"Greene County, AL",8426,48
32,"Hale County, AL",14887,29
33,"Henry County, AL",17124,4
34,"Houston County, AL",104352,305
35,"Jackson County, AL",52094,615
36,"Jefferson County, AL",659892,1564
37,"Lamar County, AL",13933,0
38,"Lauderdale County, AL",92585,417
39,"Lawrence County, AL",33171,1878
40,"Lee County, AL",159287,226
41,"Limestone County, AL",93052,853
42,"Lowndes County, AL",10236,13
43,"Macon County, AL",19054,63
44,"Madison County, AL",357560,1975
45,"Marengo County, AL",19538,51
46,"Marion County, AL",29965,122
47,"Marshall County, AL",95145,389
48,"Mobile County, AL",414659,2915
49,"Monroe County, AL",21512,346
50,"Montgomery County, AL",226941,414
51,"Morgan County, AL",119122,740
52,"Perry County, AL",9486,6
53,"Pickens County, AL",20298,25
54,"Pike County, AL",33403,209
55,"Randolph County, AL",22574,51
56,"Russell County, AL",58213,165
57,"St. Clair County, AL",87306,315
58,"Shelby County, AL",211261,468
59,"Sumter County, AL",12985,8
60,"Talladega County, AL",80565,345
61,"Tallapoosa County, AL",40636,130
62,"Tuscaloosa County, AL",206213,393
63,"Walker County, AL",64493,109
64,"Washington County, AL",16643,1227
65,"Wilcox County, AL",10809,22
66,"Winston County, AL",23875,93
67,"Aleutians East Borough, AK",3425,1349
68,"Aleutians West Census Area, AK",5750,651
69,"Anchorage Municipality, AK",296112,21876
70,"Bethel Census Area, AK",18040,14927
71,"Bristol Bay Borough, AK",890,291
72,"Denali Borough, AK",2232,44
73,"Dillingham Census Area, AK",4975,3587
74,"Fairbanks North Star Borough, AK",99653,7233
75,"Haines Borough, AK",2518,217
76,"Hoonah-Angoon Census Area, AK",2132,821
77,"Juneau City and Borough, AK",32330,3532
78,"Kenai Peninsula Borough, AK",58220,4493
79,"Ketchikan Gateway Borough, AK",13804,2013
80,"Kodiak Island Borough, AK",13649,1862
81,"Kusilvak Census Area, AK",8198,7480
82,"Lake and Peninsula Borough, AK",1375,926
83,"Matanuska-Susitna Borough, AK",103464,5888
84,"Nome Census Area, AK",9925,7396
85,"North Slope Borough, AK",9797,5093
86,"Northwest Arctic Borough, AK",7734,6382
87,"Petersburg Borough, AK",3255,237
88,"Prince of Wales-Hyder Census Area, AK",6474,2583
89,"Sitka City and Borough, AK",8738,1118
90,"Skagway Municipality, AK",1061,55
91,"Southeast Fairbanks Census Area, AK",6876,907
92,"Valdez-Cordova Census Area, AK",9301,1188
93,"Wrangell City and Borough, AK",2484,496
94,"Yakutat City and Borough, AK",689,195
95,"Yukon-Koyukuk Census Area, AK",5415,3820
96,"Apache County, AZ",71522,52708
97,"Cochise County, AZ",126279,1642
98,"Coconino County, AZ",140217,37388
99,"Gila County, AZ",53400,8562
100,"Graham County, AZ",37879,4808
101,"Greenlee County, AZ",9504,436
102,"La Paz County, AZ",20701,2924
