,GEO_NAME,GEO_PARENT_NAME,STABREV,FIPS_CODE,White alone_Total,Black or African American alone_Total,American Indian and Alaska Native alone_Total,Asian alone_Total,Native Hawaiian and Other Pacific Islander alone_Total,ctname
0,Autauga County,Alabama,AL,1001,42437,10565,159,568,32,"Autauga County, AL"
1,Baldwin County,Alabama,AL,1003,179526,19764,1522,1680,9,"Baldwin County, AL"
2,Barbour County,Alabama,AL,1005,12216,12266,72,96,1,"Barbour County, AL"
3,Bibb County,Alabama,AL,1007,17268,5018,8,37,0,"Bibb County, AL"
4,Blount County,Alabama,AL,1009,55054,862,141,198,18,"Blount County, AL"
5,Bullock County,Alabama,AL,1011,2276,7893,122,56,0,"Bullock County, AL"
6,Butler County,Alabama,AL,1013,10414,9055,2,231,0,"Butler County, AL"
7,Calhoun County,Alabama,AL,1015,85558,23676,353,1065,9,"Calhoun County, AL"
8,Chambers County,Alabama,AL,1017,19483,13319,97,405,0,"Chambers County, AL"
9,Cherokee County,Alabama,AL,1019,23997,1267,236,55,0,"Cherokee County, AL"
10,Chilton County,Alabama,AL,1021,36599,4148,123,190,0,"Chilton County, AL"
11,Choctaw County,Alabama,AL,1023,7420,5590,9,13,0,"Choctaw County, AL"
12,Clarke County,Alabama,AL,1025,12935,11173,25,123,0,"Clarke County, AL"
13,Clay County,Alabama,AL,1027,11106,1977,155,18,0,"Clay County, AL"
14,Cleburne County,Alabama,AL,1029,14068,393,39,3,0,"Cleburne County, AL"
15,Coffee County,Alabama,AL,1031,38923,8829,617,666,0,"Coffee County, AL"
16,Colbert County,Alabama,AL,1033,43288,8615,367,267,29,"Colbert County, AL"
17,Conecuh County,Alabama,AL,1035,6369,5971,56,18,0,"Conecuh County, AL"
18,Coosa County,Alabama,AL,1037,7133,3713,9,0,0,"Coosa County, AL"
19,Covington County,Alabama,AL,1039,31624,4826,58,159,13,"Covington County, AL"
20,Crenshaw County,Alabama,AL,1041,9938,3198,109,188,0,"Crenshaw County, AL"
21,Cullman County,Alabama,AL,1043,78392,998,348,334,3,"Cullman County, AL"
22,Dale County,Alabama,AL,1045,35889,9749,377,633,4,"Dale County, AL"
23,Dallas County,Alabama,AL,1047,11257,28210,10,224,23,"Dallas County, AL"
24,DeKalb County,Alabama,AL,1049,60972,1004,934,140,621,"DeKalb County, AL"
25,Elmore County,Alabama,AL,1051,60824,17402,209,392,0,"Elmore County, AL"
26,Escambia County,Alabama,AL,1053,23095,11920,1437,135,72,"Escambia County, AL"
27,Etowah County,Alabama,AL,1055,82710,16212,751,739,66,"Etowah County, AL"
28,Fayette County,Alabama,AL,1057,14095,1978,0,108,6,"Fayette County, AL"
29,Franklin County,Alabama,AL,1059,26467,1388,488,119,0,"Franklin County, AL"
30,Geneva County,Alabama,AL,1061,22871,2529,210,109,4,"Geneva County, AL"
31,Greene County,Alabama,AL,1063,1445,6713,48,0,0,"Greene County, AL"
32,Hale County,Alabama,AL,1065,5898,8748,29,39,0,"Hale County, AL"
33,Henry County,Alabama,AL,1067,12179,4749,4,0,0,"Henry County, AL"
34,Houston County,Alabama,AL,1069,72387,28078,305,873,18,"Houston County, AL"
35,Jackson County,Alabama,AL,1071,47412,1799,615,215,77,"Jackson County, AL"
36,Jefferson County,Alabama,AL,1073,342591,281702,1564,10250,215,"Jefferson County, AL"
37,Lamar County,Alabama,AL,1075,12187,1558,0,0,0,"Lamar County, AL"
38,Lauderdale County,Alabama,AL,1077,80561,9364,417,612,61,"Lauderdale County, AL"
39,Lawrence County,Alabama,AL,1079,25942,3627,1878,44,24,"Lawrence County, AL"
40,Lee County,Alabama,AL,1081,111986,36675,226,6577,18,"Lee County, AL"
41,Limestone County,Alabama,AL,1083,75143,12468,853,1174,24,"Limestone County, AL"
42,Lowndes County,Alabama,AL,1085,2546,7601,13,0,0,"Lowndes County, AL"
43,Macon County,Alabama,AL,1087,3025,15740,63,50,0,"Macon County, AL"
44,Madison County,Alabama,AL,1089,243835,86012,1975,9073,324,"Madison County, AL"
45,Marengo County,Alabama,AL,1091,8855,10518,51,0,0,"Marengo County, AL"
46,Marion County,Alabama,AL,1093,27886,1097,122,49,0,"Marion County, AL"
47,Marshall County,Alabama,AL,1095,87887,2456,389,570,46,"Marshall County, AL"
48,Mobile County,Alabama,AL,1097,243658,147434,2915,8117,62,"Mobile County, AL"
49,Monroe County,Alabama,AL,1099,11814,8927,346,120,0,"Monroe County, AL"
50,Montgomery County,Alabama,AL,1101,82862,130866,414,6104,56,"Montgomery County, AL"
51,Morgan County,Alabama,AL,1103,95966,15228,740,775,48,"Morgan County, AL"
52,Perry County,Alabama,AL,1105,2838,6588,6,21,0,"Perry County, AL"
53,Pickens County,Alabama,AL,1107,11362,8367,25,13,8,"Pickens County, AL"
54,Pike County,Alabama,AL,1109,18960,12697,209,715,3,"Pike County, AL"
55,Randolph County,Alabama,AL,1111,17443,4547,51,68,51,"Randolph County, AL"
56,Russell County,Alabama,AL,1113,29256,24957,165,518,72,"Russell County, AL"
57,St. Clair County,Alabama,AL,1115,76224,8252,315,737,8,"St. Clair County, AL"
58,Shelby County,Alabama,AL,1117,169598,25455,468,4249,47,"Shelby County, AL"
59,Sumter County,Alabama,AL,1119,3201,9346,8,338,0,"Sumter County, AL"
60,Talladega County,Alabama,AL,1121,51720,26010,345,470,28,"Talladega County, AL"
61,Tallapoosa County,Alabama,AL,1123,28251,11145,130,155,0,"Tallapoosa County, AL"
62,Tuscaloosa County,Alabama,AL,1125,132877,65260,393,3302,73,"Tuscaloosa County, AL"
63,Walker County,Alabama,AL,1127,58547,4007,109,319,0,"Walker County, AL"
64,Washington County,Alabama,AL,1129,11003,4086,1227,62,0,"Washington County, AL"
65,Wilcox County,Alabama,AL,1131,2903,7511,22,0,0,"Wilcox County, AL"
66,Winston County,Alabama,AL,1133,23001,90,93,31,9,"Winston County, AL"
67,Aleutians East Borough,Alaska,AK,2013,605,144,1349,878,25,"Aleutians East Borough, AK"
68,Aleutians West Census Area,Alaska,AK,2016,1699,246,651,2300,148,"Aleutians West Census Area, AK"
69,Anchorage Municipality,Alaska,AK,2020,186522,16439,21876,28445,6890,"Anchorage Municipality, AK"
70,Bethel Census Area,Alaska,AK,2050,1986,119,14927,187,3,"Bethel Census Area, AK"
71,Bristol Bay Borough,Alaska,AK,2060,501,4,291,3,2,"Bristol Bay Borough, AK"
72,Denali Borough,Alaska,AK,2068,1810,18,44,101,0,"Denali Borough, AK"
73,Dillingham Census Area,Alaska,AK,2070,875,67,3587,76,3,"Dillingham Census Area, AK"
74,Fairbanks North Star Borough,Alaska,AK,2090,75281,4493,7233,3068,561,"Fairbanks North Star Borough, AK"
75,Haines Borough,Alaska,AK,2100,2040,1,217,74,4,"Haines Borough, AK"
76,Hoonah-Angoon Census Area,Alaska,AK,2105,971,68,821,60,3,"Hoonah-Angoon Census Area, AK"
77,Juneau City and Borough,Alaska,AK,2110,22182,325,3532,2314,320,"Juneau City and Borough, AK"
78,Kenai Peninsula Borough,Alaska,AK,2122,48489,370,4493,886,194,"Kenai Peninsula Borough, AK"
79,Ketchikan Gateway Borough,Alaska,AK,2130,9219,103,2013,1062,5,"Ketchikan Gateway Borough, AK"
80,Kodiak Island Borough,Alaska,AK,2150,7284,36,1862,3144,90,"Kodiak Island Borough, AK"
81,Kusilvak Census Area,Alaska,AK,2158,319,60,7480,32,2,"Kusilvak Census Area, AK"
82,Lake and Peninsula Borough,Alaska,AK,2164,314,9,926,34,5,"Lake and Peninsula Borough, AK"
83,Matanuska-Susitna Borough,Alaska,AK,2170,85927,1121,5888,1437,226,"Matanuska-Susitna Borough, AK"
84,Nome Census Area,Alaska,AK,2180,1601,89,7396,160,43,"Nome Census Area, AK"
85,North Slope Borough,Alaska,AK,2185,3099,84,5093,548,175,"North Slope Borough, AK"
86,Northwest Arctic Borough,Alaska,AK,2188,859,87,6382,76,0,"Northwest Arctic Borough, AK"
87,Petersburg Borough,Alaska,AK,2195,2346,23,237,302,17,"Petersburg Borough, AK"
88,Prince of Wales-Hyder Census Area,Alaska,AK,2198,3053,24,2583,76,41,"Prince of Wales-Hyder Census Area, AK"
89,Sitka City and Borough,Alaska,AK,2220,5655,103,1118,632,8,"Sitka City and Borough, AK"
90,Skagway Municipality,Alaska,AK,2230,917,13,55,19,0,"Skagway Municipality, AK"
91,Southeast Fairbanks Census Area,Alaska,AK,2240,5269,47,907,156,2,"Southeast Fairbanks Census Area, AK"
92,Valdez-Cordova Census Area,Alaska,AK,2261,6803,25,1188,327,57,"Valdez-Cordova Census Area, AK"
93,Wrangell City and Borough,Alaska,AK,2275,1670,2,496,69,9,"Wrangell City and Borough, AK"
94,Yakutat City and Borough,Alaska,AK,2282,309,2,195,57,16,"Yakutat City and Borough, AK"
95,Yukon-Koyukuk Census Area,Alaska,AK,2290,1229,7,3820,33,0,"Yukon-Koyukuk Census Area, AK"
96,Apache County,Arizona,AZ,4001,16362,513,52708,286,18,"Apache County, AZ"
97,Cochise County,Arizona,AZ,4003,107243,4734,1642,2362,464,"Cochise County, AZ"
98,Coconino County,Arizona,AZ,4005,89502,1869,37388,2908,176,"Coconino County, AZ"
99,Gila County,Arizona,AZ,4007,41095,317,8562,486,20,"Gila County, AZ"
100,Graham County,Arizona,AZ,4009,29917,752,4808,246,51,"Graham County, AZ"
101,Greenlee County,Arizona,AZ,4011,8642,213,436,29,0,"Greenlee County, AZ"
102,La Paz County,Arizona,AZ,4012,15914,170,2924,158,8,"La Paz County, AZ"
